Date,Used
03-16-2016 08:00,27
03-16-2016 08:05,27
03-16-2016 08:10,26
03-16-2016 08:15,25
03-16-2016 08:20,24
03-16-2016 08:25,24
03-16-2016 08:30,24
03-16-2016 08:35,24
03-16-2016 08:40,24
03-16-2016 08:45,26
03-16-2016 08:50,26
03-16-2016 08:55,26
03-16-2016 09:00,26
03-16-2016 09:05,27
03-16-2016 09:10,26
03-16-2016 09:15,26
03-16-2016 09:20,26
03-16-2016 09:25,28
03-16-2016 09:30,28
03-16-2016 09:35,28
03-16-2016 09:40,28
03-16-2016 09:45,28
03-16-2016 09:50,29
03-16-2016 09:55,30
03-16-2016 10:00,30
03-16-2016 10:05,30
03-16-2016 10:10,30
03-16-2016 10:15,30
03-16-2016 10:20,30
03-16-2016 10:25,30
03-16-2016 10:30,30
03-16-2016 10:35,30
03-16-2016 10:40,30
03-16-2016 10:45,30
03-16-2016 10:50,29
03-16-2016 10:55,30
03-16-2016 11:00,31
03-16-2016 11:05,31
03-16-2016 11:10,31
03-16-2016 11:15,31
03-16-2016 11:20,32
03-16-2016 11:25,33
03-16-2016 11:30,33
03-16-2016 11:35,33
03-16-2016 11:40,33
03-16-2016 11:45,33
03-16-2016 11:50,32
03-16-2016 11:55,32
03-16-2016 12:00,31
03-16-2016 12:05,31
03-16-2016 12:10,30
03-16-2016 12:15,30
03-16-2016 12:20,31
03-16-2016 12:25,30
03-16-2016 12:30,30
03-16-2016 12:35,30
03-16-2016 12:40,31
03-16-2016 12:45,31
03-16-2016 12:50,32
03-16-2016 12:55,32
03-16-2016 13:00,32
03-16-2016 13:05,31
03-16-2016 13:10,33
03-16-2016 13:15,32
03-16-2016 13:20,33
03-16-2016 13:25,33
03-16-2016 13:30,33
03-16-2016 13:35,33
03-16-2016 13:40,33
03-16-2016 13:45,33
03-16-2016 13:50,32
03-16-2016 13:55,32
03-16-2016 14:00,32
03-16-2016 14:05,33
03-16-2016 14:10,33
03-16-2016 14:15,33
03-16-2016 14:20,33
03-16-2016 14:25,33
03-16-2016 14:30,33
03-16-2016 14:35,33
03-16-2016 14:40,32
03-16-2016 14:45,30
03-16-2016 14:50,30
03-16-2016 14:55,31
03-16-2016 15:00,32
03-16-2016 15:05,32
03-16-2016 15:10,32
03-16-2016 15:15,32
03-16-2016 15:20,31
03-16-2016 15:25,31
03-16-2016 15:30,30
03-16-2016 15:35,31
03-16-2016 15:40,31
03-16-2016 15:45,31
03-16-2016 15:50,31
03-16-2016 15:55,32
03-16-2016 16:00,32
03-16-2016 16:05,32
03-16-2016 16:10,32
03-16-2016 16:15,32
03-16-2016 16:20,32
03-16-2016 16:25,32
03-16-2016 16:30,31
03-16-2016 16:35,32
03-16-2016 16:40,32
03-16-2016 16:45,32
03-16-2016 16:50,32
03-16-2016 16:55,26
03-16-2016 17:00,26
03-16-2016 17:05,25
03-16-2016 17:10,25
03-16-2016 17:15,26
03-16-2016 17:20,26
03-16-2016 17:25,26
03-16-2016 17:30,26
03-16-2016 17:35,26
03-16-2016 17:40,26
03-16-2016 17:45,27
03-16-2016 17:50,27
03-16-2016 17:55,27
03-16-2016 18:00,27
03-16-2016 18:05,26
03-16-2016 18:10,26
03-16-2016 18:15,27
03-16-2016 18:20,27
03-16-2016 18:25,27
03-16-2016 18:30,27
03-16-2016 18:35,27
03-16-2016 18:40,27
03-16-2016 18:45,27
03-16-2016 18:50,27
03-16-2016 18:55,26
03-16-2016 19:00,26
03-16-2016 19:05,24
03-16-2016 19:10,26
03-16-2016 19:15,26
03-16-2016 19:20,26
03-16-2016 19:25,26
03-16-2016 19:30,26
03-16-2016 19:35,25
03-16-2016 19:40,25
03-16-2016 19:45,25
03-16-2016 19:50,23
03-16-2016 19:55,23
03-16-2016 20:00,24
03-16-2016 20:05,25
03-16-2016 20:10,26
03-16-2016 20:15,26
03-16-2016 20:20,26
03-16-2016 20:25,26
03-16-2016 20:30,26
03-16-2016 20:35,26
03-16-2016 20:40,26
03-16-2016 20:45,26
03-16-2016 20:50,26
03-16-2016 20:55,24
03-16-2016 21:00,24
03-16-2016 21:05,24
03-16-2016 21:10,24
03-16-2016 21:15,24
03-16-2016 21:20,24
03-16-2016 21:25,28
03-16-2016 21:30,28
03-16-2016 21:35,27
03-16-2016 21:40,27
03-16-2016 21:45,27
03-16-2016 21:50,27
03-16-2016 21:55,28
03-16-2016 22:00,33
03-16-2016 22:05,33
03-16-2016 22:10,32
03-16-2016 22:15,33
03-16-2016 22:20,33
03-16-2016 22:25,33
03-16-2016 22:30,33
03-16-2016 22:35,33
03-16-2016 22:40,33
03-16-2016 22:45,33
03-16-2016 22:50,33
03-16-2016 22:55,33
03-16-2016 23:00,33
03-16-2016 23:05,33
03-16-2016 23:10,33
03-16-2016 23:15,33
03-16-2016 23:20,33
03-16-2016 23:25,33
03-16-2016 23:30,33
03-16-2016 23:35,33
03-16-2016 23:40,33
03-16-2016 23:45,32
03-16-2016 23:50,31
03-16-2016 23:55,31
03-17-2016 00:00,32
03-17-2016 00:05,32
03-17-2016 00:10,31
03-17-2016 00:15,31
03-17-2016 00:20,32
03-17-2016 00:25,32
03-17-2016 00:30,31
03-17-2016 00:35,31
03-17-2016 00:40,31
03-17-2016 00:45,31
03-17-2016 00:50,31
03-17-2016 00:55,31
03-17-2016 01:00,31
03-17-2016 01:05,31
03-17-2016 01:10,30
03-17-2016 01:15,31
03-17-2016 01:20,31
03-17-2016 01:25,31
03-17-2016 01:30,31
03-17-2016 01:35,31
03-17-2016 01:40,31
03-17-2016 01:45,31
03-17-2016 01:50,30
03-17-2016 01:55,31
03-17-2016 02:00,28
03-17-2016 02:05,28
03-17-2016 02:10,28
03-17-2016 02:15,27
03-17-2016 02:20,28
03-17-2016 02:25,28
03-17-2016 02:30,28
03-17-2016 02:35,28
03-17-2016 02:40,28
03-17-2016 02:45,28
03-17-2016 02:50,28
03-17-2016 02:55,28
03-17-2016 03:00,28
03-17-2016 03:05,28
03-17-2016 03:10,28
03-17-2016 03:15,28
03-17-2016 03:20,28
03-17-2016 03:25,28
03-17-2016 03:30,28
03-17-2016 03:35,28
03-17-2016 03:40,28
03-17-2016 03:45,28
03-17-2016 03:50,28
03-17-2016 03:55,29
03-17-2016 04:00,29
03-17-2016 04:05,28
03-17-2016 04:10,28
03-17-2016 04:15,28
03-17-2016 04:20,28
03-17-2016 04:25,28
03-17-2016 04:30,28
03-17-2016 04:35,28
03-17-2016 04:40,28
03-17-2016 04:45,28
03-17-2016 04:50,28
03-17-2016 04:55,28
03-17-2016 05:00,28
03-17-2016 05:05,28
03-17-2016 05:10,28
03-17-2016 05:15,28
03-17-2016 05:20,28
03-17-2016 05:25,28
03-17-2016 05:30,28
03-17-2016 05:35,28
03-17-2016 05:40,28
03-17-2016 05:45,28
03-17-2016 05:50,28
03-17-2016 05:55,28
03-17-2016 06:00,28
03-17-2016 06:05,28
03-17-2016 06:10,28
03-17-2016 06:15,28
03-17-2016 06:20,28
03-17-2016 06:25,28
03-17-2016 06:30,29
03-17-2016 06:35,29
03-17-2016 06:40,29
03-17-2016 06:45,29
03-17-2016 06:50,29
03-17-2016 06:55,29
03-17-2016 07:00,24
03-17-2016 07:05,24
03-17-2016 07:10,26
03-17-2016 07:15,26
03-17-2016 07:20,25
03-17-2016 07:25,25
03-17-2016 07:30,25
03-17-2016 07:35,25
03-17-2016 07:40,25
03-17-2016 07:45,25
03-17-2016 07:50,25
03-17-2016 07:55,25
03-17-2016 08:00,24
03-17-2016 08:05,25
03-17-2016 08:10,25
03-17-2016 08:15,25
03-17-2016 08:20,25
03-17-2016 08:25,25
03-17-2016 08:30,25
03-17-2016 08:35,25
03-17-2016 08:40,25
03-17-2016 08:45,26
03-17-2016 08:50,27
03-17-2016 08:55,28
03-17-2016 09:00,29
03-17-2016 09:05,29
03-17-2016 09:10,29
03-17-2016 09:15,29
03-17-2016 09:20,29
03-17-2016 09:25,29
03-17-2016 09:30,29
03-17-2016 09:35,29
03-17-2016 09:40,28
03-17-2016 09:45,27
03-17-2016 09:50,27
03-17-2016 09:55,27
03-17-2016 10:00,25
03-17-2016 10:05,27
03-17-2016 10:10,27
03-17-2016 10:15,27
03-17-2016 10:20,27
03-17-2016 10:25,27
03-17-2016 10:30,28
03-17-2016 10:35,28
03-17-2016 10:40,28
03-17-2016 10:45,27
03-17-2016 10:50,27
03-17-2016 10:55,27
03-17-2016 11:00,27
03-17-2016 11:05,27
03-17-2016 11:10,27
03-17-2016 11:15,28
03-17-2016 11:20,28
03-17-2016 11:25,28
03-17-2016 11:30,27
03-17-2016 11:35,27
03-17-2016 11:40,28
03-17-2016 11:45,28
03-17-2016 11:50,28
03-17-2016 11:55,28
03-17-2016 12:00,28
03-17-2016 12:05,28
03-17-2016 12:10,28
03-17-2016 12:15,28
03-17-2016 12:20,28
03-17-2016 12:25,28
03-17-2016 12:30,28
03-17-2016 12:35,25
03-17-2016 12:40,25
03-17-2016 12:45,25
03-17-2016 12:50,26
03-17-2016 12:55,27
03-17-2016 13:00,28
03-17-2016 13:05,28
03-17-2016 13:10,28
03-17-2016 13:15,26
03-17-2016 13:20,26
03-17-2016 13:25,28
03-17-2016 13:30,28
03-17-2016 13:35,28
03-17-2016 13:40,28
03-17-2016 13:45,27
03-17-2016 13:50,27
03-17-2016 13:55,28
03-17-2016 14:00,27
03-17-2016 14:05,27
03-17-2016 14:10,28
03-17-2016 14:15,28
03-17-2016 14:20,25
03-17-2016 14:25,24
03-17-2016 14:30,23
03-17-2016 14:35,23
03-17-2016 14:40,24
03-17-2016 14:45,24
03-17-2016 14:50,24
03-17-2016 14:55,24
03-17-2016 15:00,24
03-17-2016 15:05,25
03-17-2016 15:10,25
03-17-2016 15:15,25
03-17-2016 15:20,25
03-17-2016 15:25,26
03-17-2016 15:30,28
03-17-2016 15:35,29
03-17-2016 15:40,29
03-17-2016 15:45,30
03-17-2016 15:50,30
03-17-2016 15:55,30
03-17-2016 16:00,31
03-17-2016 16:05,30
03-17-2016 16:10,28
03-17-2016 16:15,29
03-17-2016 16:20,29
03-17-2016 16:25,28
03-17-2016 16:30,28
03-17-2016 16:35,28
03-17-2016 16:40,28
03-17-2016 16:45,27
03-17-2016 16:50,27
03-17-2016 16:55,27
03-17-2016 17:00,29
03-17-2016 17:05,29
03-17-2016 17:10,31
03-17-2016 17:15,31
03-17-2016 17:20,31
03-17-2016 17:25,31
03-17-2016 17:30,31
03-17-2016 17:35,31
03-17-2016 17:40,31
03-17-2016 17:45,31
03-17-2016 17:50,31
03-17-2016 17:55,32
03-17-2016 18:00,32
03-17-2016 18:05,31
03-17-2016 18:10,31
03-17-2016 18:15,32
03-17-2016 18:20,32
03-17-2016 18:25,32
03-17-2016 18:30,31
03-17-2016 18:35,31
03-17-2016 18:40,31
03-17-2016 18:45,31
03-17-2016 18:50,31
03-17-2016 18:55,32
03-17-2016 19:00,33
03-17-2016 19:05,32
03-17-2016 19:10,32
03-17-2016 19:15,32
03-17-2016 19:20,32
03-17-2016 19:25,32
03-17-2016 19:30,32
03-17-2016 19:35,32
03-17-2016 19:40,32
03-17-2016 19:45,32
03-17-2016 19:50,32
03-17-2016 19:55,32
03-17-2016 20:00,32
03-17-2016 20:05,30
03-17-2016 20:10,30
03-17-2016 20:15,30
03-17-2016 20:20,30
03-17-2016 20:25,30
03-17-2016 20:30,30
03-17-2016 20:35,30
03-17-2016 20:40,30
03-17-2016 20:45,30
03-17-2016 20:50,30
03-17-2016 20:55,30
03-17-2016 21:00,29
03-17-2016 21:05,29
03-17-2016 21:10,29
03-17-2016 21:15,29
03-17-2016 21:20,27
03-17-2016 21:25,27
03-17-2016 21:30,28
03-17-2016 21:35,29
03-17-2016 21:40,28
03-17-2016 21:45,28
03-17-2016 21:50,28
03-17-2016 21:55,30
03-17-2016 22:00,30
03-17-2016 22:05,31
03-17-2016 22:10,32
03-17-2016 22:15,33
03-17-2016 22:20,33
03-17-2016 22:25,33
03-17-2016 22:30,33
03-17-2016 22:35,33
03-17-2016 22:40,33
