Date,Used
03-16-2016 08:00,25
03-16-2016 08:05,25
03-16-2016 08:10,24
03-16-2016 08:15,24
03-16-2016 08:20,24
03-16-2016 08:25,31
03-16-2016 08:30,31
03-16-2016 08:35,31
03-16-2016 08:40,31
03-16-2016 08:45,32
03-16-2016 08:50,31
03-16-2016 08:55,31
03-16-2016 09:00,32
03-16-2016 09:05,32
03-16-2016 09:10,33
03-16-2016 09:15,32
03-16-2016 09:20,31
03-16-2016 09:25,30
03-16-2016 09:30,32
03-16-2016 09:35,32
03-16-2016 09:40,32
03-16-2016 09:45,32
03-16-2016 09:50,32
03-16-2016 09:55,31
03-16-2016 10:00,31
03-16-2016 10:05,31
03-16-2016 10:10,31
03-16-2016 10:15,32
03-16-2016 10:20,34
03-16-2016 10:25,34
03-16-2016 10:30,34
03-16-2016 10:35,34
03-16-2016 10:40,33
03-16-2016 10:45,33
03-16-2016 10:50,34
03-16-2016 10:55,33
03-16-2016 11:00,33
03-16-2016 11:05,33
03-16-2016 11:10,32
03-16-2016 11:15,32
03-16-2016 11:20,32
03-16-2016 11:25,33
03-16-2016 11:30,33
03-16-2016 11:35,34
03-16-2016 11:40,34
03-16-2016 11:45,36
03-16-2016 11:50,39
03-16-2016 11:55,39
03-16-2016 12:00,39
03-16-2016 12:05,37
03-16-2016 12:10,37
03-16-2016 12:15,37
03-16-2016 12:20,37
03-16-2016 12:25,33
03-16-2016 12:30,34
03-16-2016 12:35,32
03-16-2016 12:40,31
03-16-2016 12:45,31
03-16-2016 12:50,30
03-16-2016 12:55,30
03-16-2016 13:00,29
03-16-2016 13:05,27
03-16-2016 13:10,27
03-16-2016 13:15,26
03-16-2016 13:20,26
03-16-2016 13:25,26
03-16-2016 13:30,26
03-16-2016 13:35,28
03-16-2016 13:40,28
03-16-2016 13:45,27
03-16-2016 13:50,30
03-16-2016 13:55,30
03-16-2016 14:00,30
03-16-2016 14:05,27
03-16-2016 14:10,27
03-16-2016 14:15,27
03-16-2016 14:20,27
03-16-2016 14:25,27
03-16-2016 14:30,27
03-16-2016 14:35,27
03-16-2016 14:40,27
03-16-2016 14:45,27
03-16-2016 14:50,28
03-16-2016 14:55,28
03-16-2016 15:00,29
03-16-2016 15:05,29
03-16-2016 15:10,29
03-16-2016 15:15,29
03-16-2016 15:20,29
03-16-2016 15:25,27
03-16-2016 15:30,27
03-16-2016 15:35,27
03-16-2016 15:40,27
03-16-2016 15:45,27
03-16-2016 15:50,26
03-16-2016 15:55,26
03-16-2016 16:00,27
03-16-2016 16:05,19
03-16-2016 16:10,17
03-16-2016 16:15,17
03-16-2016 16:20,17
03-16-2016 16:25,17
03-16-2016 16:30,17
03-16-2016 16:35,17
03-16-2016 16:40,17
03-16-2016 16:45,17
03-16-2016 16:50,17
03-16-2016 16:55,15
03-16-2016 17:00,15
03-16-2016 17:05,15
03-16-2016 17:10,16
03-16-2016 17:15,16
03-16-2016 17:20,16
03-16-2016 17:25,16
03-16-2016 17:30,17
03-16-2016 17:35,17
03-16-2016 17:40,18
03-16-2016 17:45,19
03-16-2016 17:50,20
03-16-2016 17:55,20
03-16-2016 18:00,20
03-16-2016 18:05,19
03-16-2016 18:10,19
03-16-2016 18:15,19
03-16-2016 18:20,19
03-16-2016 18:25,19
03-16-2016 18:30,19
03-16-2016 18:35,19
03-16-2016 18:40,19
03-16-2016 18:45,19
03-16-2016 18:50,19
03-16-2016 18:55,19
03-16-2016 19:00,19
03-16-2016 19:05,18
03-16-2016 19:10,18
03-16-2016 19:15,18
03-16-2016 19:20,18
03-16-2016 19:25,18
03-16-2016 19:30,18
03-16-2016 19:35,18
03-16-2016 19:40,18
03-16-2016 19:45,18
03-16-2016 19:50,18
03-16-2016 19:55,18
03-16-2016 20:00,18
03-16-2016 20:05,18
03-16-2016 20:10,17
03-16-2016 20:15,17
03-16-2016 20:20,17
03-16-2016 20:25,17
03-16-2016 20:30,17
03-16-2016 20:35,17
03-16-2016 20:40,17
03-16-2016 20:45,17
03-16-2016 20:50,17
03-16-2016 20:55,17
03-16-2016 21:00,17
03-16-2016 21:05,18
03-16-2016 21:10,17
03-16-2016 21:15,17
03-16-2016 21:20,17
03-16-2016 21:25,17
03-16-2016 21:30,17
03-16-2016 21:35,17
03-16-2016 21:40,17
03-16-2016 21:45,17
03-16-2016 21:50,17
03-16-2016 21:55,17
03-16-2016 22:00,17
03-16-2016 22:05,18
03-16-2016 22:10,18
03-16-2016 22:15,19
03-16-2016 22:20,19
03-16-2016 22:25,19
03-16-2016 22:30,19
03-16-2016 22:35,19
03-16-2016 22:40,20
03-16-2016 22:45,19
03-16-2016 22:50,19
03-16-2016 22:55,19
03-16-2016 23:00,19
03-16-2016 23:05,19
03-16-2016 23:10,19
03-16-2016 23:15,19
03-16-2016 23:20,20
03-16-2016 23:25,20
03-16-2016 23:30,20
03-16-2016 23:35,20
03-16-2016 23:40,20
03-16-2016 23:45,20
03-16-2016 23:50,20
03-16-2016 23:55,20
03-17-2016 00:00,20
03-17-2016 00:05,20
03-17-2016 00:10,20
03-17-2016 00:15,20
03-17-2016 00:20,20
03-17-2016 00:25,19
03-17-2016 00:30,19
03-17-2016 00:35,19
03-17-2016 00:40,19
03-17-2016 00:45,19
03-17-2016 00:50,19
03-17-2016 00:55,19
03-17-2016 01:00,19
03-17-2016 01:05,18
03-17-2016 01:10,18
03-17-2016 01:15,18
03-17-2016 01:20,18
03-17-2016 01:25,18
03-17-2016 01:30,18
03-17-2016 01:35,18
03-17-2016 01:40,18
03-17-2016 01:45,18
03-17-2016 01:50,18
03-17-2016 01:55,18
03-17-2016 02:00,18
03-17-2016 02:05,18
03-17-2016 02:10,18
03-17-2016 02:15,18
03-17-2016 02:20,18
03-17-2016 02:25,18
03-17-2016 02:30,18
03-17-2016 02:35,18
03-17-2016 02:40,18
03-17-2016 02:45,18
03-17-2016 02:50,18
03-17-2016 02:55,18
03-17-2016 03:00,18
03-17-2016 03:05,18
03-17-2016 03:10,18
03-17-2016 03:15,18
03-17-2016 03:20,17
03-17-2016 03:25,17
03-17-2016 03:30,17
03-17-2016 03:35,17
03-17-2016 03:40,18
03-17-2016 03:45,18
03-17-2016 03:50,18
03-17-2016 03:55,18
03-17-2016 04:00,18
03-17-2016 04:05,18
03-17-2016 04:10,18
03-17-2016 04:15,18
03-17-2016 04:20,20
03-17-2016 04:25,20
03-17-2016 04:30,20
03-17-2016 04:35,20
03-17-2016 04:40,20
03-17-2016 04:45,20
03-17-2016 04:50,20
03-17-2016 04:55,20
03-17-2016 05:00,21
03-17-2016 05:05,21
03-17-2016 05:10,25
03-17-2016 05:15,26
03-17-2016 05:20,26
03-17-2016 05:25,26
03-17-2016 05:30,25
03-17-2016 05:35,25
03-17-2016 05:40,24
03-17-2016 05:45,24
03-17-2016 05:50,23
03-17-2016 05:55,23
03-17-2016 06:00,23
03-17-2016 06:05,25
03-17-2016 06:10,25
03-17-2016 06:15,25
03-17-2016 06:20,25
03-17-2016 06:25,24
03-17-2016 06:30,25
03-17-2016 06:35,25
03-17-2016 06:40,25
03-17-2016 06:45,25
03-17-2016 06:50,24
03-17-2016 06:55,24
03-17-2016 07:00,25
03-17-2016 07:05,25
03-17-2016 07:10,28
03-17-2016 07:15,28
03-17-2016 07:20,27
03-17-2016 07:25,27
03-17-2016 07:30,26
03-17-2016 07:35,26
03-17-2016 07:40,27
03-17-2016 07:45,27
03-17-2016 07:50,27
03-17-2016 07:55,27
03-17-2016 08:00,26
03-17-2016 08:05,29
03-17-2016 08:10,28
03-17-2016 08:15,29
03-17-2016 08:20,29
03-17-2016 08:25,29
03-17-2016 08:30,29
