Date,Used

02-15-2016 13:00,27
02-15-2016 13:05,26
02-15-2016 13:10,26
02-15-2016 13:15,25
02-15-2016 13:20,24
02-15-2016 13:25,23
02-15-2016 13:30,24
02-15-2016 13:35,23
02-15-2016 13:40,24
02-15-2016 13:45,25
02-15-2016 13:50,28
02-15-2016 13:55,28
02-15-2016 14:00,26
02-15-2016 14:05,24
02-15-2016 14:10,23
02-15-2016 14:15,25
02-15-2016 14:20,25
02-15-2016 14:25,24
02-15-2016 14:30,25
02-15-2016 14:35,25
02-15-2016 14:40,24
02-15-2016 14:45,27
02-15-2016 14:50,28
02-15-2016 14:55,28
02-15-2016 15:00,28
02-15-2016 15:05,27
02-15-2016 15:10,28
02-15-2016 15:15,28
02-15-2016 15:20,27
02-15-2016 15:25,26
02-15-2016 15:30,25
02-15-2016 15:35,25
02-15-2016 15:40,23
02-15-2016 15:45,21
02-15-2016 15:50,20
02-15-2016 15:55,21
02-15-2016 16:00,18
02-15-2016 16:05,17
02-15-2016 16:10,17
02-15-2016 16:15,17
02-15-2016 16:20,17
02-15-2016 16:25,17
02-15-2016 16:30,17
02-15-2016 16:35,16
02-15-2016 16:40,16
02-15-2016 16:45,16
02-15-2016 16:50,16
02-15-2016 16:55,16
02-15-2016 17:00,17
02-15-2016 17:05,16
02-15-2016 17:10,16
02-15-2016 17:15,16
02-15-2016 17:20,16
02-15-2016 17:25,16
02-15-2016 17:30,16
02-15-2016 17:35,16
02-15-2016 17:40,16
02-15-2016 17:45,16
02-15-2016 17:50,17
02-15-2016 17:55,17
02-15-2016 18:00,17
02-15-2016 18:05,17
02-15-2016 18:10,17
02-15-2016 18:15,17
02-15-2016 18:20,17
02-15-2016 18:25,17
02-15-2016 18:30,17
02-15-2016 18:35,17
02-15-2016 18:40,17
02-15-2016 18:45,17
02-15-2016 18:50,18
02-15-2016 18:55,18
02-15-2016 19:00,18
02-15-2016 19:05,19
02-15-2016 19:10,19
02-15-2016 19:15,19
02-15-2016 19:20,19
02-15-2016 19:25,19
02-15-2016 19:30,18
02-15-2016 19:35,18
02-15-2016 19:40,18
02-15-2016 19:45,18
02-15-2016 19:50,17
02-15-2016 19:55,17
02-15-2016 20:00,17
02-15-2016 20:05,17
02-15-2016 20:10,17
02-15-2016 20:15,18
02-15-2016 20:20,18
02-15-2016 20:25,18
02-15-2016 20:30,18
02-15-2016 20:35,18
02-15-2016 20:40,18
02-15-2016 20:45,17
02-15-2016 20:50,17
02-15-2016 20:55,16
02-15-2016 21:00,16
02-15-2016 21:05,16
02-15-2016 21:10,15
02-15-2016 21:15,13
02-15-2016 21:20,13
02-15-2016 21:25,13
02-15-2016 21:30,13
02-15-2016 21:35,13
02-15-2016 21:40,13
02-15-2016 21:45,13
02-15-2016 21:50,13
02-15-2016 21:55,13
02-15-2016 22:00,15
02-15-2016 22:05,15
02-15-2016 22:10,15
02-15-2016 22:15,15
02-15-2016 22:20,15
02-15-2016 22:25,15
02-15-2016 22:30,15
02-15-2016 22:35,16
02-15-2016 22:40,16
02-15-2016 22:45,17
02-15-2016 22:50,17
02-15-2016 22:55,17
02-15-2016 23:00,17
02-15-2016 23:05,17
02-15-2016 23:10,18
02-15-2016 23:15,18
02-15-2016 23:20,18
02-15-2016 23:25,18
02-15-2016 23:30,18
02-15-2016 23:35,18
